# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
BBBY,2011-12-31,-0.05769225478877493,-0.1240223106516899,-0.4892508170845252,0.4320035361386829,0.5165997092976963,0.5451860797125255
F,2011-12-31,0.016053061906058597,0.14834596075016004,-0.23687936832930556,0.4315474299968905,0.45583435464889493,0.5013304353290529
GE,2011-12-31,0.13663020142029914,0.23102704919647787,-0.041112257018176,0.3453113173375319,0.3705452230992967,0.30035647066668925
INTC,2011-12-31,-0.026886176547786134,0.18648904679802247,0.10090325716972326,0.3265873674259691,0.3125087091782952,0.18855307652875128
PFE,2011-12-31,0.08037956807776658,0.2612700873948317,0.06359400195691078,0.2512928949792637,0.2861942679932155,0.21465175296554256
SPG,2011-12-31,0.050034568830497284,0.22130469891213278,0.09850796641408976,0.3265701216647935,0.37544844184271364,0.18506442719246474
XOM,2011-12-31,0.06228888213915229,0.19838404199522564,0.05181532812105316,0.2567768457205394,0.30446120583650454,0.21723495256337724
AAL,2012-01-31,0.6646940528081489,0.4627381701456892,0.5289853664812134,0.7084737656406906,0.801794348758883,0.6124031190120227
BBBY,2012-01-31,-0.1364796110760511,-0.18433737043961285,-0.432046985101079,0.3590062619836312,0.4957946690357397,0.5985576878990646
F,2012-01-31,0.15880499584214003,0.06752960725184609,0.05221491295880121,0.3557707170436236,0.4573474248356223,0.4279609128720915
GE,2012-01-31,0.044668115657981344,0.13055409232320758,0.10823586569292099,0.2880661067910939,0.36692969881226106,0.30035647066668925
INTC,2012-01-31,0.08948448577237,0.08617296361389815,0.23917670564463145,0.30141046485222406,0.3115903024529242,0.18855307652875128
PFE,2012-01-31,-0.011090856063763033,0.12229478424272444,0.2048710279624648,0.21677969761421143,0.28206711457841877,0.21465175296554256
SPG,2012-01-31,0.053668759725924664,0.06703200672522147,0.1919505845340399,0.23708454072765217,0.37295570806323547,0.18506442719246474
XOM,2012-01-31,-0.012033833110857484,0.07874260222006191,0.08935349839346429,0.2307530837847774,0.3015996789131755,0.21723495256337724
AAL,2012-02-29,-0.12203767036165247,0.6614353948477281,0.34239155433878854,0.7197350369715687,0.7475845119370795,0.6124031190120227
BBBY,2012-02-29,-0.060561277484080356,-0.19391631924737807,-0.4116558846775774,0.30336749905668975,0.41800225722092754,0.6177884394953229
F,2012-02-29,-0.003220233583054344,0.24410365466705386,0.14338407338680126,0.3107038372716703,0.37447550576956523,0.4065863563838437
GE,2012-02-29,0.02717760560784588,0.3006019367024513,0.2153277597151666,0.2282976644826593,0.30286148056095924,0.2793805563845043
INTC,2012-02-29,0.025541370547929487,0.14905864051770745,0.35056772874591347,0.23923504614385985,0.2749748940478123,0.18855307652875128
PFE,2012-02-29,-0.002360543811610216,0.1004887036184674,0.14218044983411415,0.15226356039923247,0.21488057753682316,0.21465175296554256
SPG,2012-02-29,0.0041786484899646315,0.14662220158896888,0.18303355568607005,0.1804051905806839,0.27558585232651595,0.18506442719246474
XOM,2012-02-29,0.0386125673208384,0.13055285904690384,0.18375985814095586,0.1755949196925515,0.23358353721895272,0.21723495256337724
AAL,2012-03-31,-0.005242537286223925,0.497041428382734,0.38000013978430536,0.6701457105629927,0.7226653228446661,0.6124031190120227
BBBY,2012-03-31,-0.14238958156876924,-0.33163269526359607,-0.43473575918438734,0.480641542605642,0.4596632432753209,0.6736111094387025
F,2012-03-31,-0.018868490844363373,0.16440277836324202,0.2956540919090809,0.25504295968192664,0.35651063852913856,0.4065863563838437
GE,2012-03-31,0.05798632447796459,0.13051484183745155,0.3432323587793036,0.1528240184121423,0.2724369268803552,0.2758910525092121
INTC,2012-03-31,0.044576894497166286,0.1688542999048228,0.3400424920926701,0.15656780239131357,0.26095698076890733,0.18855307652875128
PFE,2012-03-31,0.057916711317591796,0.057544837218692635,0.30744374886581083,0.12164150565459775,0.19938807818014398,0.21465175296554256
